,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches)
0,Toamasina,MG,-18.17,49.38,73.4,94,75,4.7,light rain,0.0,0.0
1,Punta Arenas,CL,-53.15,-70.92,42.8,75,40,11.41,scattered clouds,0.0,0.0
2,Hobart,AU,-42.88,147.33,54.0,62,90,8.05,overcast clouds,0.0,0.0
3,Clyde River,CA,70.47,-68.59,24.8,85,75,3.36,broken clouds,0.0,0.0
4,Puteyets,RU,65.17,57.09,50.47,54,100,10.67,overcast clouds,0.0,0.0
5,Puerto Ayora,EC,-0.74,-90.35,82.4,61,40,13.87,scattered clouds,0.0,0.0
6,Bathsheba,BB,13.22,-59.52,87.8,62,40,20.8,scattered clouds,0.0,0.0
7,Bambous Virieux,MU,-20.34,57.76,75.2,78,40,10.29,scattered clouds,0.0,0.0
8,Arlit,NE,18.74,7.39,106.03,9,91,3.15,overcast clouds,0.0,0.0
9,Qaanaaq,GL,77.48,-69.36,32.34,90,48,2.53,scattered clouds,0.0,0.0
10,Hithadhoo,MV,-0.6,73.08,83.91,80,100,16.04,light rain,0.36,0.0
11,Njombe,TZ,-9.33,34.77,56.66,95,18,5.19,few clouds,0.0,0.0
12,Hilo,US,19.73,-155.09,71.6,78,90,5.82,overcast clouds,0.0,0.0
13,Datong,CN,40.09,113.29,66.29,44,78,8.19,light rain,0.42,0.0
14,Ushuaia,AR,-54.8,-68.3,44.6,56,75,9.17,broken clouds,0.0,0.0
15,Nishihara,JP,26.18,127.76,77.0,69,75,13.87,broken clouds,0.0,0.0
16,Kapaa,US,22.08,-159.32,73.4,78,20,11.41,few clouds,0.0,0.0
17,Tuktoyaktuk,CA,69.45,-133.04,30.2,92,90,11.41,mist,0.0,0.0
18,Kanigoro,ID,-8.13,112.22,74.46,91,48,2.44,scattered clouds,0.0,0.0
19,Chiscas,CO,6.55,-72.5,62.89,68,73,1.48,light rain,0.45,0.0
20,Port Alfred,ZA,-33.59,26.89,62.01,82,91,5.99,overcast clouds,0.0,0.0
21,Fortuna,US,40.6,-124.16,55.99,93,90,4.18,overcast clouds,0.0,0.0
22,Cabo San Lucas,MX,22.89,-109.91,81.0,57,5,3.36,clear sky,0.0,0.0
23,Sioux Lookout,CA,50.1,-91.92,44.6,87,90,10.29,light intensity drizzle,0.0,0.0
24,Bluff,NZ,-46.6,168.33,51.71,84,27,11.92,scattered clouds,0.0,0.0
25,Vaini,TO,-21.2,-175.2,71.6,100,75,3.36,light intensity drizzle,0.0,0.0
26,Novyy Urengoy,RU,66.08,76.63,48.63,77,100,9.57,overcast clouds,0.0,0.0
27,Mar Del Plata,AR,-38.0,-57.56,63.0,87,90,6.93,overcast clouds,0.0,0.0
28,Rikitea,PF,-23.12,-134.97,74.91,79,2,10.69,clear sky,0.0,0.0
29,Moyale,KE,3.52,39.06,67.91,93,84,8.88,broken clouds,0.0,0.0
30,Busselton,AU,-33.65,115.33,48.0,74,21,17.67,few clouds,0.0,0.0
31,Iqaluit,CA,63.75,-68.51,24.8,73,75,4.7,broken clouds,0.0,0.0
32,Leningradskiy,RU,69.38,178.42,36.34,82,79,8.39,broken clouds,0.0,0.0
33,Nizhniy Baskunchak,RU,48.22,46.83,83.88,26,20,17.78,few clouds,0.0,0.0
34,Albany,US,42.6,-73.97,84.0,63,79,9.51,light rain,0.21,0.0
35,Thompson,CA,55.74,-97.86,41.0,48,40,11.41,scattered clouds,0.0,0.0
36,Sinnamary,GF,5.38,-52.95,74.68,92,100,1.57,moderate rain,1.27,0.0
37,Pisco,PE,-13.7,-76.22,68.0,77,90,6.93,overcast clouds,0.0,0.0
38,Dikson,RU,73.51,80.55,31.82,98,77,7.63,broken clouds,0.0,0.0
39,Cimarron Hills,US,38.86,-104.7,68.0,52,20,3.36,few clouds,0.0,0.0
40,San Luis,AR,-33.3,-66.34,62.91,43,84,1.41,broken clouds,0.0,0.0
41,Aitape,PG,-3.14,142.35,78.71,83,95,3.91,overcast clouds,0.0,0.0
42,Byron Bay,AU,-28.65,153.62,59.0,87,40,10.29,scattered clouds,0.0,0.0
43,East London,ZA,-33.02,27.91,66.09,60,100,19.69,overcast clouds,0.0,0.0
44,Mataura,NZ,-46.19,168.86,41.13,94,17,2.21,few clouds,0.0,0.0
45,Upernavik,GL,72.79,-56.15,29.97,94,15,1.88,few clouds,0.0,0.0
46,Tasiilaq,GL,65.61,-37.64,37.4,93,75,4.7,fog,0.0,0.0
47,Kahului,US,20.89,-156.47,75.2,73,40,14.99,scattered clouds,0.0,0.0
48,Ponta Do Sol,PT,32.67,-17.1,69.01,67,100,5.01,overcast clouds,0.0,0.0
49,Saint-Pierre,RE,-21.34,55.48,75.2,73,20,2.24,few clouds,0.0,0.0
50,Alappuzha,IN,9.49,76.33,82.98,80,94,4.94,light rain,0.83,0.0
51,Mocuba,MZ,-16.84,36.99,73.47,83,56,2.84,broken clouds,0.0,0.0
52,Cidreira,BR,-30.18,-50.21,70.9,59,0,1.59,clear sky,0.0,0.0
53,Sayat,TM,38.78,63.88,95.0,14,0,9.17,clear sky,0.0,0.0
54,Ilebo,CD,-4.32,20.58,86.74,54,83,0.69,broken clouds,0.0,0.0
55,Ilulissat,GL,69.22,-51.1,33.8,59,75,5.82,broken clouds,0.0,0.0
56,Nikolskoye,RU,59.7,30.79,62.6,33,0,13.42,clear sky,0.0,0.0
57,Karratha,AU,-20.74,116.85,71.06,37,0,12.15,clear sky,0.0,0.0
58,Atuona,PF,-9.8,-139.03,81.23,74,4,17.22,clear sky,0.0,0.0
59,Avarua,CK,-21.21,-159.78,78.8,94,49,8.05,scattered clouds,0.0,0.0
60,Nautla,MX,20.22,-96.78,84.83,69,46,8.93,moderate rain,1.19,0.0
61,Alofi,NU,-19.06,-169.92,75.2,100,0,4.7,clear sky,0.0,0.0
62,Mehamn,NO,71.04,27.85,43.39,87,98,15.48,light rain,0.13,0.0
63,Redlands,US,34.06,-117.18,71.01,77,90,5.19,mist,0.0,0.0
64,Norfolk,US,42.17,-71.25,79.0,74,75,11.41,broken clouds,0.0,0.0
65,Barrow,US,71.29,-156.79,30.2,86,1,6.93,clear sky,0.0,0.0
66,Vila,PT,42.03,-8.16,87.01,61,20,10.29,few clouds,0.0,0.0
67,Hermanus,ZA,-34.42,19.23,60.01,98,86,1.9,overcast clouds,0.0,0.0
68,Takoradi,GH,4.88,-1.76,84.0,76,83,10.11,broken clouds,0.0,0.0
69,Mahina,PF,-17.51,-149.49,77.0,83,51,3.36,light rain,0.37,0.0
70,Aklavik,CA,68.22,-135.01,37.4,71,40,12.75,scattered clouds,0.0,0.0
71,Salalah,OM,17.02,54.09,77.0,94,75,4.7,light rain,0.0,0.0
72,Te Anau,NZ,-45.42,167.72,41.05,86,8,0.78,clear sky,0.0,0.0
73,Sitka,US,57.05,-135.33,51.8,71,40,6.93,scattered clouds,0.0,0.0
74,Gao,ML,16.64,1.64,102.33,14,30,6.2,scattered clouds,0.0,0.0
75,Yining,CN,29.04,114.56,65.25,93,100,1.25,overcast clouds,0.0,0.0
76,Grand Gaube,MU,-20.01,57.66,75.0,76,8,5.01,clear sky,0.0,0.0
77,Nhamunda,BR,-2.19,-56.71,88.59,60,28,4.12,scattered clouds,0.0,0.0
78,Jamestown,US,42.1,-79.24,73.0,78,90,10.29,light rain,0.25,0.0
79,Gibsons,CA,49.4,-123.5,63.0,80,84,4.85,broken clouds,0.0,0.0
80,Vila Velha,BR,-20.33,-40.29,77.0,61,89,16.11,overcast clouds,0.0,0.0
81,Bethel,US,41.37,-73.41,73.4,88,75,9.17,mist,0.0,0.0
82,Cape Town,ZA,-33.93,18.42,63.0,77,40,5.82,scattered clouds,0.0,0.0
83,Kenai,US,60.55,-151.26,50.0,75,1,0.49,clear sky,0.0,0.0
84,Dzilam Gonzalez,MX,21.28,-88.93,89.53,54,100,5.86,overcast clouds,0.0,0.0
85,Kungurtug,RU,50.6,97.52,34.11,86,46,2.51,scattered clouds,0.0,0.0
86,Karla,EE,59.37,24.93,59.0,47,0,9.17,clear sky,0.0,0.0
87,Norman Wells,CA,65.28,-126.83,42.8,60,5,3.36,clear sky,0.0,0.0
88,Rio Grande,BR,-32.03,-52.1,71.6,56,0,3.36,clear sky,0.0,0.0
89,Pevek,RU,69.7,170.31,37.0,79,94,8.66,overcast clouds,0.0,0.0
90,Fort Nelson,CA,58.81,-122.7,53.6,66,75,3.36,broken clouds,0.0,0.0
91,Kiama,AU,-34.68,150.87,53.01,93,1,5.86,clear sky,0.0,0.0
92,Kodiak,US,57.79,-152.41,50.0,66,90,4.7,overcast clouds,0.0,0.0
93,Margate,GB,51.38,1.39,62.01,68,0,7.0,clear sky,0.0,0.0
94,New Norfolk,AU,-42.78,147.06,54.0,66,100,3.0,overcast clouds,0.0,0.0
95,Isangel,VU,-19.55,169.27,74.32,80,20,8.34,few clouds,0.0,0.0
96,Urengoy,RU,65.97,78.37,49.32,77,100,7.83,overcast clouds,0.0,0.0
97,Airai,TL,-8.93,125.41,58.55,100,98,1.32,overcast clouds,0.0,0.0
98,Lastoursville,GA,-0.81,12.73,79.74,87,100,1.25,light rain,0.7,0.0
